2024-09-13 21:48:28 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16892, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-13 21:48:28 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu .dll'

2024-09-19 07:36:32 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-19 07:36:32 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu .dll" is not a valid PE image
2024-09-19 07:36:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 15608, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-19 07:36:36 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\YimMenu.dll'

2024-09-20 18:37:27 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-20 18:37:27 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu.dll" is not a valid PE image

2024-09-20 18:37:30 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-20 18:37:30 *ERROR*      File "C:\Users\Administrator\Desktop\Yim\YimMenu.dll" is not a valid PE image
2024-09-20 18:37:41 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 11516, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-20 18:37:41 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll'

2024-09-20 18:55:58 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
2024-09-20 18:56:10 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 16208, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2024-09-20 18:56:10 *CRITICAL*   Injecting image 'C:\Users\Administrator\Desktop\Yim\Yim Menu V2 BE.dll'

2024-09-22 20:11:20 *NORMAL*     Started on Windows 10.0.0.26100 x64. Driver status: 0xC0000225
